date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,humidity_max,humidity_min,wind_max_kmh,wind_mean_kmh,et0_mm,solar_mj,vpd_kpa,temp_range_c,is_hot_day,is_very_hot,humidity_mean,humidity_range,is_dry_day,is_humid_day,is_rainy_day,is_heavy_rain,no_rain,is_windy,evap_risk
2026-01-03,29.5,23.0,25.6,0.2,96,59,23.0,14.8,4.32,20.76,1.7,6.5,0,0,77.5,37,0,1,0,0,0,1,21.815
2026-01-04,28.6,22.0,25.0,0.1,96,62,21.7,16.3,4.1,19.7,1.48,6.600000000000001,0,0,79.0,34,0,1,0,0,0,1,21.425
2026-01-05,28.0,22.0,24.5,13.7,95,71,21.6,14.0,3.27,17.69,1.08,6.0,0,0,83.0,24,0,1,1,0,0,1,19.25
2026-01-06,26.1,22.5,24.2,6.8,97,81,20.2,14.9,2.05,10.14,0.66,3.6000000000000014,0,0,89.0,16,0,1,1,0,0,1,17.255
2026-01-07,28.0,22.2,24.7,0.2,88,65,23.1,18.0,3.97,17.78,1.31,5.800000000000001,0,0,76.5,23,0,1,0,0,0,1,22.605
2026-01-08,26.4,21.3,23.6,1.1,89,74,23.6,14.7,2.38,9.92,0.9,5.099999999999998,0,0,81.5,15,0,1,0,0,0,1,19.59
2026-01-09,27.1,21.1,23.9,5.4,93,75,22.1,13.1,2.89,15.12,0.91,6.0,0,0,84.0,18,0,1,1,0,0,1,18.435
2026-01-10,26.5,22.4,24.1,1.2,96,82,17.4,11.1,1.98,9.91,0.61,4.100000000000001,0,0,89.0,14,0,1,0,0,0,0,16.265
2026-01-11,30.6,21.9,25.0,5.2,98,64,8.5,5.1,3.96,19.85,1.56,8.700000000000003,0,0,81.0,34,0,1,1,0,0,0,17.925
2026-01-12,27.9,22.5,24.5,9.8,98,78,16.4,11.5,2.19,11.62,0.8,5.399999999999999,0,0,88.0,20,0,1,1,0,0,0,16.875
2026-01-13,29.3,22.6,25.1,1.4,97,69,15.7,13.0,3.81,19.97,1.27,6.699999999999999,0,0,83.0,28,0,1,0,0,0,0,19.24
